source,author,title,description,url,publishedAt,content
The Verge,Jess Weatherbed,"Really, you made this without AI? Prove it","""This looks like AI."" It's a phrase I dread seeing as a writer who dabbles in illustration and amateur photography. In a world where generative AI technology is increasingly adept at mimicking the work of humans, people are naturally skeptical when online pla…",https://www.theverge.com/tech/906453/human-made-ai-free-logo-creative-content,2026-04-03T10:41:49Z,"<ul><li></li><li></li><li></li></ul>
Human creators want an AI-free label, but cant agree which one.
If you buy something from a Verge link, Vox Media may earn a commission. See our ethics statemen… [+10529 chars]"
Wired,Anna McKie,Technology Is Reshaping Sleep Apnea Treatment,"For decades, cumbersome CPAP machines have been the primary way to help people with sleep apnea. A range of new options has recently come into focus.",https://www.wired.com/story/sleep-apnea-treatment-tech/,2026-03-11T08:00:00Z,"Inspire therapya hypoglossal nerve stimulation implanthas been FDA-approved for more than 11 years, with over 100,000 patients treated across the US, Europe, and Asia. Ruchir Patel, Inspires senior m… [+3019 chars]"
BBC News,,The nearly-forgotten cricketer who became India's T20 World Cup hero,Sanju Samson lit up the T20 World Cup with 321 runs and impactful innings that helped India retain the title.,https://www.bbc.com/news/articles/cx2lw902gr6o,2026-03-09T07:55:19Z,"With an unbeaten 97, Samson laid down the marker. This was an old style innings, not a muscular modern marvel. Samson has the most conventional of set ups, does not move around too much in the crease… [+121 chars]"
BBC News,Matthew Henry,Superb India crush New Zealand to defend T20 title,India banish the ghosts of 2023 by emphatically beating New Zealand by 96 runs in Ahmedabad to defend their T20 World Cup title.,https://www.bbc.com/sport/cricket/articles/c15x2denz30o,2026-03-08T17:21:45Z,"India banished the ghosts of 2023 by emphatically beating New Zealand by 96 runs in Ahmedabad to defend their T20 World Cup title.
On the same ground they wilted under pressure and expectancy two an… [+1247 chars]"
Wired,Paresh Dave,Anthropic Sues Department of Defense Over Supply-Chain Risk Designation,The Claude chatbot developer says the Trump administration overstepped by escalating a contract dispute into a federal ban on the company’s technology.,https://www.wired.com/story/anthropic-sues-department-of-defense-over-supply-chain-risk-designation/,2026-03-09T15:29:57Z,"Anthropic filed a federal lawsuit against the US Department of Defense and other federal agencies on Monday, challenging its designation of the AI company as a supply-chain risk.
The Pentagon formal… [+3765 chars]"
Wired,Steven Levy,"At Palantir’s Developer Conference, AI Is Built to Win Wars","As business soars, Palantir is doubling down on a vision of AI built for battlefield advantage—and attracting customers who agree.",https://www.wired.com/story/palantir-developer-conference-ai-war-alex-karp/,2026-03-20T15:00:00Z,"Its a chilly March morning in the undisclosed mid-Atlantic hotel hosting Palantirs developer conference. The defense contractors, military officers, and corporate executives in attendance are unprepa… [+4522 chars]"
The Verge,Richard Lawler,DLSS 5: Has Nvidia’s AI graphics technology gone too far?,"Nvidia has revealed a new “3D guided neural rendering model” called DLSS 5 that can change a game’s lighting and materials in real-time, and… many gamers aren’t happy. From DLSS 5 memes to complaints about how it’s “yassified” Resident Evil Requiem characters…",https://www.theverge.com/games/896518/nvidia-dlss-5-ai-3d-rendering,2026-03-18T12:25:06Z,"Nvidia has revealed a new 3D guided neural rendering model called DLSS 5 that can change a games lighting and materials in real-time, and many gamers arent happy. From DLSS 5 memes to complaints abou… [+2251 chars]"
The Verge,Sean Hollister,Nvidia has lost the plot with gamers,"Nvidia surely thought it was doing a good thing for gamers by ""upgrading"" the faces of our favorite video game characters. But that just shows how much the company has lost the plot. Nvidia could've marketed its new DLSS 5 real-time lighting technology as a w…",https://www.theverge.com/games/895753/nvidia-dlss-5-slop-face-fake-frames,2026-03-17T23:13:49Z,"<ul><li></li><li></li><li></li></ul>
The company at the center of AI and gaming should have known better.
The company at the center of AI and gaming should have known better.
by
Sean HollisterClo… [+6931 chars]"
Wired,Paresh Dave,Anthropic Supply-Chain Risk Designation Halted By Judge,"A judge temporarily blocked the Trump administration's designation, clearing the way for Anthropic to keep doing business without the label starting next week.",https://www.wired.com/story/anthropic-supply-chain-risk-designation-injunction/,2026-03-26T23:33:05Z,"Anthropic won a preliminary injunction barring the US Department of Defense from labeling it a supply-chain risk, potentially clearing the way for customers to resume working with the company. The ru… [+2867 chars]"
Gizmodo.com,James Whitbrook,Hasbro’s CEO Says ‘Magic: The Gathering’ and ‘Dungeons & Dragons’ Will Never Use Generative AI,Both brands already have guidelines in place barring the use of the technology.,https://gizmodo.com/wizards-of-the-coast-dnd-magic-no-ai-2000732646,2026-03-12T12:00:05Z,"As the world continues to slowly but surely grapple with the issues with, and ever-present executive demand for, generative AI use in every aspect of our lives, sometimes it’s nice to hear at least o… [+2731 chars]"
The Verge,Andrew J. Hawkins,Kodiak CEO says making trucks drive themselves is only half the battle,"This year is shaping up to be a big one for self-driving trucks. In addition to Aurora's plan to deploy hundreds of autonomous big rigs and Waabi expanding into robotaxis, you've also got Kodiak AI aiming to launch its own fully driverless long-haul freight o…",https://www.theverge.com/transportation/897551/kodiak-ai-self-driving-truck-ceo-interview,2026-03-20T18:25:45Z,"<ul><li></li><li></li><li></li></ul>
The company plans to launch fully driverless long-haul freight operations by the end of 2026.
The company plans to launch fully driverless long-haul freight ope… [+6078 chars]"
Wired,Avery Trufelman,How American Camouflage Conquered the World,The world-famous MultiCam pattern was designed for the military by two Brooklyn hipsters. Now everyone—from babies to ICE agents—is suited up for battle.,https://www.wired.com/camouflage-multicam-military-navy-seals-ice/,2026-03-25T10:00:00Z,"The design students didnt start out in the field or on a hunting range. You start in your Adobe suite, right? Thompson says. Go right in digitally, create it, print it, make uniforms out of it. Tweak… [+2759 chars]"
Gizmodo.com,Ece Yildirim,"People Hate AI Even More Than They Hate ICE, Poll Finds",The only things less popular than AI in the poll were Iran and the Democratic Party.,https://gizmodo.com/people-hate-ai-even-more-than-they-hate-ice-poll-finds-2000731438,2026-03-09T18:35:34Z,"People really hate artificial intelligence, according to the latest NBC poll. 
NBC surveyed a group of registered voters and found that the concept of artificial intelligence was so unpopular that 4… [+3630 chars]"
The Verge,David Pierce,Why people really hate AI,"There's a big, and increasing, disconnect in culture right now when it comes to artificial intelligence. Companies of all shapes and sizes are hunting for places to deploy AI and can't stop talking about how this new technology will change everything. But whe…",https://www.theverge.com/podcast/897900/ai-trust-gap-killer-app-vergecast,2026-03-20T13:27:53Z,"<ul><li></li><li></li><li></li></ul>
On The Vergecast: AI apps we really want, the future of foldables, and the DLSS 5 backlash.
On The Vergecast: AI apps we really want, the future of foldables, a… [+3014 chars]"
The Verge,Gaby Del Valle,"The boring, insidious world of the womanosphere","Usha Vance has a new podcast: Storytime with the Second Lady. It's exactly what it sounds like. Each episode begins with a brief introduction, after which JD Vance's wife reads a children's story. The first three episodes were released Monday, and none is lon…",https://www.theverge.com/policy/905871/usha-vance-podcast-storytime-second-lady-katie-miller,2026-04-02T14:57:35Z,"<ul><li></li><li></li><li></li></ul>
The wives of right-wing political figures keep launching podcasts. Why?
The wives of right-wing political figures keep launching podcasts. Why?
by
Gaby Del Va… [+8537 chars]"
Wired,Maxwell Zeff,Yann LeCun Raises $1 Billion to Build AI That Understands the Physical World,"Meta’s former chief AI scientist has long argued that human-level AI will come from mastering the physical world, not language. His new startup, AMI, plans to prove it.",https://www.wired.com/story/yann-lecun-raises-dollar1-billion-to-build-ai-that-understands-the-physical-world/,2026-03-10T05:00:00Z,"Advanced Machine Intelligence (AMI), a new Paris-based startup cofounded by Metas former chief AI scientist Yann LeCun, announced Monday it has raised more than $1 billion to develop AI world models.… [+4159 chars]"
Wired,Ritsuko Kawai,Japan Approves the World’s First Treatment Made With Reprogrammed Human Cells,Researchers in Japan pioneered reprogrammed cells 20 years ago. Now the country has given the first-ever authorizations to manufacture and sell medical products based on the technology.,https://www.wired.com/story/japan-approves-the-worlds-first-treatment-made-with-reprogrammed-human-cells/,2026-03-14T09:00:00Z,"Severe heart failure is a serious condition that worsens over time, and the only treatment options are a heart transplant or a heart-assisted artificial heart. However, heart transplantation is hampe… [+3796 chars]"
